datetime,product,quote,datetime_parsed,quote_cleaned,quote_length,word_count,hour,day_of_week,month,textblob_polarity,textblob_subjectivity,vader_compound,vader_positive,vader_negative,vader_neutral
2024-01-01 09:15:00,Smartphone X,This phone is absolutely incredible! The camera quality is outstanding and the battery life exceeds my expectations. Best purchase I've ever made!,2024-01-01 09:15:00,this phone is absolutely incredible! the camera quality is outstanding and the battery life exceeds my expectations. best purchase i've ever made!,146,22,9,Monday,1,0.8333333333333334,0.6916666666666665,0.8684,0.305,0.0,0.695
2024-01-01 10:30:00,Laptop Pro,"The laptop works fine, but the price seems a bit high for what you get. Performance is decent but nothing spectacular.",2024-01-01 10:30:00,"the laptop works fine, but the price seems a bit high for what you get. performance is decent but nothing spectacular.",118,21,10,Monday,1,0.3358333333333333,0.6516666666666666,0.1027,0.065,0.0,0.935
2024-01-01 11:45:00,Wireless Headphones,Terrible product! The sound quality is awful and they keep disconnecting. Complete waste of money.,2024-01-01 11:45:00,terrible product! the sound quality is awful and they keep disconnecting. complete waste of money.,98,15,11,Monday,1,-0.33999999999999997,0.5599999999999999,-0.8478,0.0,0.434,0.566
2024-01-01 13:20:00,Smartphone X,Amazing features and great performance. The screen is beautiful and the user interface is intuitive.,2024-01-01 13:20:00,amazing features and great performance. the screen is beautiful and the user interface is intuitive.,100,15,13,Monday,1,0.75,0.8833333333333333,0.9153,0.496,0.0,0.504
2024-01-01 14:35:00,Tablet Air,"This tablet is okay, nothing special but it gets the job done for basic tasks.",2024-01-01 14:35:00,"this tablet is okay, nothing special but it gets the job done for basic tasks.",78,15,14,Monday,1,0.28571428571428575,0.3988095238095238,-0.0462,0.09,0.101,0.809
2024-01-01 16:00:00,Laptop Pro,Excellent build quality and fast performance. The keyboard feels great and the display is sharp.,2024-01-01 16:00:00,excellent build quality and fast performance. the keyboard feels great and the display is sharp.,96,15,16,Monday,1,0.46875,0.775,0.8316,0.375,0.0,0.625
2024-01-01 17:30:00,Wireless Headphones,I love these headphones! Crystal clear sound and comfortable for long listening sessions.,2024-01-01 17:30:00,i love these headphones! crystal clear sound and comfortable for long listening sessions.,89,13,17,Monday,1,0.295,0.5166666666666667,0.8858,0.51,0.0,0.49
2024-01-01 19:15:00,Smartphone X,The phone is good but the battery drains too quickly. Camera is nice though.,2024-01-01 19:15:00,the phone is good but the battery drains too quickly. camera is nice though.,76,14,19,Monday,1,0.5444444444444444,0.7000000000000001,0.6858,0.32,0.0,0.68
2024-01-01 20:45:00,Tablet Air,Fantastic tablet with great battery life. Perfect for watching movies and browsing the web.,2024-01-01 20:45:00,fantastic tablet with great battery life. perfect for watching movies and browsing the web.,91,14,20,Monday,1,0.7333333333333334,0.8833333333333333,0.9081,0.509,0.0,0.491
2024-01-01 22:00:00,Laptop Pro,Disappointed with this laptop. Overheats constantly and the fan is too loud.,2024-01-01 22:00:00,disappointed with this laptop. overheats constantly and the fan is too loud.,76,12,22,Monday,1,-0.21666666666666667,0.6277777777777778,-0.2023,0.149,0.201,0.649
2024-01-02 08:30:00,Smartphone X,Outstanding phone! The AI features are mind-blowing and the processing speed is incredible.,2024-01-02 08:30:00,outstanding phone! the ai features are mind-blowing and the processing speed is incredible.,91,13,8,Tuesday,1,0.7625,0.8875,0.6476,0.263,0.0,0.737
2024-01-02 09:45:00,Wireless Headphones,These headphones are garbage. Poor sound quality and they hurt my ears after 10 minutes.,2024-01-02 09:45:00,these headphones are garbage. poor sound quality and they hurt my ears after 10 minutes.,88,15,9,Tuesday,1,0.0,0.5,-0.7579,0.0,0.333,0.667
2024-01-02 11:00:00,Tablet Air,The tablet is decent for the price. Good for kids and basic entertainment.,2024-01-02 11:00:00,the tablet is decent for the price. good for kids and basic entertainment.,74,13,11,Tuesday,1,0.28888888888888886,0.46388888888888885,0.6908,0.341,0.0,0.659
2024-01-02 12:30:00,Laptop Pro,Incredible performance! This laptop handles everything I throw at it without any issues.,2024-01-02 12:30:00,incredible performance! this laptop handles everything i throw at it without any issues.,88,13,12,Tuesday,1,1.0,0.9,0.0,0.0,0.0,1.0
2024-01-02 14:00:00,Smartphone X,"The phone is alright, but the camera could be better. Overall satisfied with the purchase.",2024-01-02 14:00:00,"the phone is alright, but the camera could be better. overall satisfied with the purchase.",90,15,14,Tuesday,1,0.3333333333333333,0.5,0.8422,0.43,0.0,0.57
2024-01-02 15:30:00,Wireless Headphones,Amazing sound quality and noise cancellation! Worth every penny.,2024-01-02 15:30:00,amazing sound quality and noise cancellation! worth every penny.,64,9,15,Tuesday,1,0.46666666666666673,0.46666666666666673,0.7177,0.461,0.0,0.539
2024-01-02 17:00:00,Tablet Air,"This tablet is a complete disaster. Slow, crashes constantly, and the screen is terrible.",2024-01-02 17:00:00,"this tablet is a complete disaster. slow, crashes constantly, and the screen is terrible.",89,14,17,Tuesday,1,-0.3,0.5333333333333333,-0.802,0.0,0.375,0.625
2024-01-02 18:30:00,Laptop Pro,Good laptop but the battery life is disappointing. Need to charge it multiple times a day.,2024-01-02 18:30:00,good laptop but the battery life is disappointing. need to charge it multiple times a day.,90,16,18,Tuesday,1,0.033333333333333326,0.43333333333333335,-0.5187,0.096,0.212,0.691
2024-01-02 20:00:00,Smartphone X,Perfect phone! The design is beautiful and the features are exactly what I needed.,2024-01-02 20:00:00,perfect phone! the design is beautiful and the features are exactly what i needed.,82,14,20,Tuesday,1,0.7000000000000001,0.75,0.8356,0.397,0.0,0.603
